Raposa-afegã,Vulpes cana,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Raposa-anã,Vulpes macrotis,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Raposa-das-estepes,Vulpes corsac,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Raposa-do-Ártico,Vulpes lagopus,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Raposa-do-himalaia,Vulpes ferrilata,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Raposa-veloz,Vulpes velox,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Raposa-vermelha,Vulpes vulpes,Vulpes,Canidae,Carnivora,Mammalia,Chordata,Animalia
Rato-almiscarado,Ondatra zibethicus,Ondatra,Cricetidae,Rodentia,Mammalia,Chordata,Animalia
Rato-canguru de San Quintin,Dipodomys gravipes,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,Animalia
Rena,Rangifer tarandus,Rangifer,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
Ratufa-indica,Ratufa indica,Ratufa,Sciuridae,Rodentia,Mammalia,Chordata,Animalia
Rinoceronte-branco,Ceratotherium simum,Ceratotherium,Rhinocerotidae,Perissodactyla,Mammalia,Chordata,Animalia
Rinoceronte-indiano,Rhinocerus unicornis,Rhinocerus,Rhinocerotidae,Perissodactyla,Mammalia,Chordata,Animalia
Rinoceronte-negro,Diceros bicornis,Diceros,Rhinocerotidae,Perissodactyla,Mammalia,Chordata,Animalia
Sagui-da-serra-claro,Callithrix flaviceps,Callithrix,Callitrichidae,Primates,Mammalia,Chordata,Animalia
Sagui-de-tufo-branco,Callithrix jacchus,Callithrix,Callitrichidae,Primates,Mammalia,Chordata,Animalia
Sagui-de-tufos-pretos,Callithrix penicillata,Callithrix,Callitrichidae,Primates,Mammalia,Chordata,Animalia
Sagui-de-wied,Callithrix kuhlii,Callithrix,Callitrichidae,Primates,Mammalia,Chordata,Animalia
Tamanduá-bandeira,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,Mammalia,Chordata,Animalia
Tamanduá-do-norte,Tamandua mexicana,Tamandua,Myrmecophagidae,Pilosa,Mammalia,Chordata,Animalia
Tamanduá-mirim,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,Mammalia,Chordata,Animalia
Tâmia-de-colarinho-cinza,Neotamias cinereicollis,Neotamias,Sciuridae,Rodentia,Mammalia,Chordata,Animalia
Tatu-bola-do-nordeste,Tolypeutes tricinctus,Tolypeutes,ClamiforÃ­deos,Cingulata,Mammalia,Chordata,Animalia
Tatu-canastra,Priodontes maximus,Priodontes,ClamiforÃ­deos,Cingulata,Mammalia,Chordata,Animalia
Tatu-galinha,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,Mammalia,Chordata,Animalia
Tatu-mirim,Dasypus septemcinctus,Dasypus,Dasypodidae,Cingulata,Mammalia,Chordata,Animalia
Tatupeba,Euphractus sexcinctus,Euphractus,ClamiforÃ­deos,Cingulata,Mammalia,Chordata,Animalia
