Papagaio-campeiro,Amazona ochrocephala,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-comum,Amazona aestiva,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-da-serra,Amazona pretrei,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-da-várzea,Amazona festiva,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-de-Cabeça-Amarela,Amazona oratrix,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-de-peito-roxo,Amazona vinacea,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-diadema,Amazona autumnalis,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Papagaio-moleiro,Amazona farinosa,Amazona,Psittacidae,Psitaciformes,Aves,Chordata,Animalia
Pato-mandarim,Aix galericulata,Aix,Anatidae,Anseriformes,Aves,Chordata,Animalia
Pavão-indiano,Pavo cristatus,Pavo,Phasianidae,Galliformes,Aves,Chordata,Animalia
Pelicano-australiano,Pelecanus conspicillatus,Pelecanus,Pelecanidae,Pelecaniformes,Aves,Chordata,Animalia
Pelicano-branco-americano,Pelecanus erythrorhynchos,Pelecanus,Pelecanidae,Pelecaniformes,Aves,Chordata,Animalia
Pelicano-australiano,Pelecanus conspicillatus,Pelecanus,Pelecanidae,Pelecaniformes,Aves,Chordata,Animalia
Rola-do-senegal,Streptopelia senegalensis,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,Animalia
Verdilhão,Chloris chloris,Chloris,Fringillidae,Passeriformes,Aves,Chordata,Animalia
Xexéu,Cacicus cela,Cacicus,Icteridae,Passeriformes,Aves,Chordata,Animalia
Kadavu fantail,Rhipidura personata,Rhipidura,Rhipiduridae,Passeriformes,Aves,Chordata,Animalia
